stop_id,stop_code,stop_name,stop_desc,platform_code,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6793,6793,HIGHWAY 7 / MONTGOMERY CT,,,43.851326,-79.351627,1,,0,,,1
6798,6798,KENNEDY RD STOP # 6798,,,43.872554,-79.306172,1,,0,,,1
6800,6800,CARRICK AV / CHARTWELL CRES,,,44.243696,-79.461566,1,,0,,,2
6802,6802,GLENWOODS AV STOP # 6802,,,44.212895,-79.461788,1,,0,,,2
6803,6803,CREDITSTONE RD / GRANITERIDGE RD,,,43.827681,-79.522692,1,,0,,,2
6806,6806,KING RD / STAN ROOTS ST,,,43.932861,-79.509736,1,,0,,,1
6809,6809,LESLIE ST / HOLBORN RD,,,44.156876,-79.455103,1,,0,,,2
9841,9841,CEDARLAND DR / WARDEN AV,,,43.851983,-79.334487,1,,0,,,1
9842,9842,CEDARLAND DR / WARDEN AV,,,43.852009,-79.33418,1,,0,,,1
6811,6811,LESLIE ST STOP # 6811,,,43.865594,-79.387484,1,,0,,,2
6812,6812,LESLIE ST STOP # 6812,,,43.865758,-79.387789,1,,0,,,2
6813,6813,HIGHWAY 7 / DONALD COUSENS PKWY,,,43.88235,-79.214597,1,,0,,,2
6815,6815,MARKLAND ST STOP # 6815,,,43.88218,-79.37246,1,,0,,,1
6816,6816,MAJOR MACKENZIE DR EAST / GREENSPIR,MAJOR MACKENZIE DR EAST & GREENSPIRE AV,,43.906053,-79.282835,1,,0,,,1
6820,6820,DUNNING AV STOP # 6820,,,43.990875,-79.463224,1,,0,,,2
6827,6827,ANGUS GLEN BLVD / DANCERS DR,,,43.890971,-79.318514,1,,0,,,1
6836,6836,ANGUS GLEN BLVD / GLENGORDON CRES,,,43.889157,-79.333999,1,,0,,,2
6837,6837,ANGUS GLEN BLVD / ROYAL COUNTY DOWN,ANGUS GLEN BLVD & ROYAL COUNTY DOWN CRES,,43.887061,-79.333403,1,,0,,,2
6838,6838,ANGUS GLEN BLVD / ROYAL COUNTY DOWN,ANGUS GLEN BLVD & ROYAL COUNTY DOWN CRES,,43.887154,-79.333408,1,,0,,,1
6839,6839,ANGUS GLEN BLVD / ROYAL TROON CRES,,,43.888487,-79.32831,1,,0,,,2
6821,6821,KENNEDY RD / BECKETT AV,,,43.881422,-79.314435,1,,0,,,2
6822,6822,KENNEDY RD / WILFRED MURISON AV,,,43.884304,-79.315238,1,,0,,,2
6824,6824,WELLINGTON ST / JOHN WEST WAY,,,44.003147,-79.452112,1,,0,,,2
6825,6825,THE QUEENSWAY / SIMCOE AV,,,44.242708,-79.470541,1,,0,,,2
6829,6829,ANGUS GLEN BLVD / POTTERS WHEEL RD,,,43.890421,-79.322977,1,,0,,,2
6830,6830,ANGUS GLEN BLVD / POTTERS WHEEL RD,,,43.89035,-79.323107,1,,0,,,2
6831,6831,ANGUS GLEN BLVD / STOLLERY POND CRE,ANGUS GLEN BLVD & STOLLERY POND CRES,,43.893159,-79.333628,1,,0,,,2
6832,6832,ANGUS GLEN BLVD / STOLLERY POND CRE,ANGUS GLEN BLVD & STOLLERY POND CRES,,43.893029,-79.333521,1,,0,,,2
6840,6840,ANGUS GLEN BLVD / ROYAL TROON CRES,,,43.889539,-79.328127,1,,0,,,2
6866,6866,NINTH LINE / FERNGLEN CRES,,,43.964804,-79.255661,1,,0,,,1
6867,6867,NINTH LINE / FERNGLEN CR,,,43.964805,-79.255956,1,,0,,,1
6868,6868,CORNELL CENTRE BLVD / MORNING DOVE,CORNELL CENTRE BLVD & MORNING DOVE DR,,43.89788,-79.224081,1,,0,,,2
6869,6869,KENNEDY RD / BECKETT AV,,,43.882335,-79.31512,1,,0,,,2
9849,9849,DAVIS DR / HURON HEIGHTS DR,,,44.062665,-79.445031,1,,0,,,1
6864,6864,BATHURST ST / VERDI RD,,,43.946731,-79.482987,1,,0,,,1
6865,6865,BATHURST ST / VERDI RD,,,43.946924,-79.483406,1,,0,,,2
9851,9851,DAVIS DR / LESLIE ST,,,44.065884,-79.431204,1,,0,,,1
7057,7057,VICTORIA PARK AV / FINCH AV,,,43.792839,-79.331074,4,,0,,,1
6199,6199,FOGAL RD / HUNTINGTON RD,,,43.774457,-79.648569,1,,0,,,1
9855,9855,DAVIS DR / MAIN ST,,,44.059292,-79.460406,1,,0,,,1
6875,6875,WHITE'S HILL AV / CORNELL CENTRE BL,WHITE'S HILL AV & CORNELL CENTRE BLVD,,43.896422,-79.223223,1,,0,,,1
6876,6876,CORNELL CENTRE AV / GAS LAMP LN,,,43.899053,-79.224368,1,,0,,,1
6878,6878,CORNELL ROUGE BLVD / AUTUMN GLOW DR,,,43.893314,-79.219337,1,,0,,,1
6879,6879,CORNELL ROUGE BLVD / AUTUMN GLOW DR,,,43.893579,-79.219388,1,,0,,,2
6880,6880,CORNELL ROUGE BLVD / WILLIAM FORSTE,CORNELL ROUGE BLVD & WILLIAM FORSTER RD,,43.891256,-79.220447,1,,0,,,1
6881,6881,CORNELL ROUGE BLVD / WILLIAM FORSTE,CORNELL ROUGE BLVD & WILLIAM FORSTER RD,,43.89105,-79.220213,1,,0,,,1
6884,6884,CORNELL ROUGE BLVD / HONEY GLEN AV,CORNELL ROUGE BLVD & HONEY GLEN AVE,,43.885948,-79.218388,1,,0,,,1
6885,6885,CORNELL ROUGE BLVD / HONEY GLEN AV,CORNELL ROUGE BLVD & HONEY GLEN AVE,,43.885793,-79.218168,1,,0,,,2
6887,6887,KEELE ST STOP # 6887,,,43.869314,-79.515529,1,,0,,,2
6890,6890,PINE VALLEY DR / MAJOR MACKENZIE DR,,,43.839563,-79.586173,1,,0,,,2
