fare_id,price,currency_type,payment_method,transfers
97-70,18.50,CAD,1,
70-97,18.50,CAD,1,
96-70,17.60,CAD,1,
70-96,17.60,CAD,1,
95-70,17.10,CAD,1,
70-95,17.10,CAD,1,
94-70,16.50,CAD,1,
70-94,16.50,CAD,1,
93-70,15.70,CAD,1,
70-93,15.70,CAD,1,
92-70,14.95,CAD,1,
70-92,14.95,CAD,1,
91-70,14.25,CAD,1,
70-91,14.25,CAD,1,
90-70,7.75,CAD,1,
70-90,7.75,CAD,1,
89-70,7.50,CAD,1,
70-89,7.50,CAD,1,
88-70,11.35,CAD,1,
70-88,11.35,CAD,1,
87-70,9.75,CAD,1,
70-87,9.75,CAD,1,
86-70,8.85,CAD,1,
70-86,8.85,CAD,1,
85-70,22.45,CAD,1,
70-85,22.45,CAD,1,
84-70,24.80,CAD,1,
70-84,24.80,CAD,1,
83-70,22.65,CAD,1,
70-83,22.65,CAD,1,
82-70,20.25,CAD,1,
70-82,20.25,CAD,1,
81-70,19.45,CAD,1,
70-81,19.45,CAD,1,
80-70,18.15,CAD,1,
70-80,18.15,CAD,1,
79-70,12.25,CAD,1,
70-79,12.25,CAD,1,
78-70,14.35,CAD,1,
70-78,14.35,CAD,1,
77-70,4.40,CAD,1,
70-77,4.40,CAD,1,
76-70,9.30,CAD,1,
70-76,9.30,CAD,1,
75-70,8.15,CAD,1,
70-75,8.15,CAD,1,
74-70,6.85,CAD,1,
70-74,6.85,CAD,1,
73-70,4.40,CAD,1,
70-73,4.40,CAD,1,
72-70,4.40,CAD,1,
70-72,4.40,CAD,1,
71-70,4.40,CAD,1,
70-71,4.40,CAD,1,
70-70,4.40,CAD,1,
98-69,12.25,CAD,1,
69-98,12.25,CAD,1,
97-69,23.45,CAD,1,
69-97,23.45,CAD,1,
96-69,22.45,CAD,1,
69-96,22.45,CAD,1,
95-69,21.85,CAD,1,
69-95,21.85,CAD,1,
94-69,21.30,CAD,1,
69-94,21.30,CAD,1,
93-69,20.50,CAD,1,
69-93,20.50,CAD,1,
92-69,19.75,CAD,1,
69-92,19.75,CAD,1,
91-69,19.00,CAD,1,
69-91,19.00,CAD,1,
90-69,16.80,CAD,1,
69-90,16.80,CAD,1,
89-69,16.70,CAD,1,
69-89,16.70,CAD,1,
88-69,20.20,CAD,1,
69-88,20.20,CAD,1,
87-69,18.65,CAD,1,
69-87,18.65,CAD,1,
86-69,17.95,CAD,1,
69-86,17.95,CAD,1,
85-69,28.75,CAD,1,
69-85,28.75,CAD,1,
84-69,31.25,CAD,1,
69-84,31.25,CAD,1,
83-69,29.00,CAD,1,
69-83,29.00,CAD,1,
82-69,26.55,CAD,1,
69-82,26.55,CAD,1,
81-69,25.80,CAD,1,
69-81,25.80,CAD,1,
80-69,24.40,CAD,1,
69-80,24.40,CAD,1,
79-69,16.70,CAD,1,
69-79,16.70,CAD,1,
78-69,12.75,CAD,1,
69-78,12.75,CAD,1,
77-69,15.55,CAD,1,
69-77,15.55,CAD,1,
76-69,23.90,CAD,1,
69-76,23.90,CAD,1,
75-69,23.20,CAD,1,
69-75,23.20,CAD,1,
74-69,22.25,CAD,1,
69-74,22.25,CAD,1,
73-69,21.25,CAD,1,
69-73,21.25,CAD,1,
72-69,20.70,CAD,1,
69-72,20.70,CAD,1,
71-69,20.50,CAD,1,
69-71,20.50,CAD,1,
70-69,20.30,CAD,1,
69-70,20.30,CAD,1,
69-69,4.40,CAD,1,
98-68,11.65,CAD,1,
68-98,11.65,CAD,1,
97-68,22.85,CAD,1,
68-97,22.85,CAD,1,
96-68,21.85,CAD,1,
68-96,21.85,CAD,1,
95-68,21.30,CAD,1,
68-95,21.30,CAD,1,
94-68,20.75,CAD,1,
68-94,20.75,CAD,1,
93-68,20.00,CAD,1,
68-93,20.00,CAD,1,
92-68,19.15,CAD,1,
68-92,19.15,CAD,1,
91-68,18.50,CAD,1,
68-91,18.50,CAD,1,
90-68,16.50,CAD,1,
68-90,16.50,CAD,1,
89-68,16.15,CAD,1,
68-89,16.15,CAD,1,
88-68,19.55,CAD,1,
68-88,19.55,CAD,1,
87-68,18.00,CAD,1,
68-87,18.00,CAD,1,
86-68,17.30,CAD,1,
68-86,17.30,CAD,1,
85-68,28.15,CAD,1,
